Timestamp,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm)
2025-10-04 19:33:38,28.07,51.23,101.04,98.22
2025-10-04 19:33:39,28.07,51.13,101.04,98.05
2025-10-04 19:33:40,28.06,51.09,101.04,98.1
2025-10-04 19:33:41,28.07,51.03,101.04,97.42
2025-10-04 19:33:42,28.07,50.98,101.04,97.64
2025-10-04 19:33:43,28.06,50.93,101.04,98.1
2025-10-04 19:33:45,28.07,50.9,101.04,98.05
2025-10-04 19:33:46,28.07,50.87,101.04,98.1
2025-10-04 19:33:47,28.07,50.82,101.04,97.53
2025-10-04 19:33:48,28.07,50.77,101.04,97.7
2025-10-04 19:33:49,28.07,50.75,101.04,97.99
2025-10-04 19:33:50,28.07,50.71,101.04,98.22
2025-10-04 19:33:51,28.07,50.7,101.04,97.64
2025-10-04 19:33:52,28.07,50.69,101.04,97.76
2025-10-04 19:33:53,28.07,50.69,101.04,97.47
2025-10-04 19:33:54,28.06,50.69,101.04,97.7
2025-10-04 19:33:55,28.06,50.68,101.04,97.76
2025-10-04 19:33:56,28.06,50.68,101.04,97.99
2025-10-04 19:33:57,28.06,50.65,101.04,97.13
2025-10-04 19:33:58,28.06,50.65,101.04,98.05
2025-10-04 19:33:59,28.07,50.64,101.04,98.45
2025-10-04 19:34:00,28.07,50.63,101.04,98.57
2025-10-04 19:34:01,28.07,50.61,101.04,98.45
2025-10-04 19:34:02,28.07,50.59,101.04,98.33
2025-10-04 19:34:04,28.07,50.59,101.04,97.64
2025-10-04 19:34:05,28.07,50.58,101.04,97.76
2025-10-04 19:34:06,28.07,50.57,101.04,97.76
2025-10-04 19:34:07,28.06,50.55,101.04,97.42
2025-10-04 19:34:08,28.06,50.54,101.04,98.28
2025-10-04 19:34:09,28.07,50.54,101.04,98.86
2025-10-04 19:34:10,28.07,50.53,101.04,98.16
2025-10-04 19:34:11,28.07,50.51,101.04,97.99
2025-10-04 19:34:12,28.08,50.5,101.04,98.57
2025-10-04 19:34:13,28.08,50.48,101.04,98.45
2025-10-04 19:34:14,28.08,50.47,101.04,98.1
2025-10-04 19:34:15,28.08,50.49,101.04,98.33
2025-10-04 19:34:16,28.09,50.49,101.04,98.92
2025-10-04 19:34:17,28.09,50.48,101.04,98.05
2025-10-04 19:34:18,28.09,50.47,101.04,98.51
2025-10-04 19:34:19,28.09,50.49,101.04,97.42
2025-10-04 19:34:20,28.09,50.58,101.04,97.3
2025-10-04 19:34:21,28.09,50.69,101.04,97.13
2025-10-04 19:34:23,28.09,50.82,101.04,97.3
2025-10-04 19:34:24,28.09,50.87,101.04,97.64
2025-10-04 19:34:25,28.09,50.89,101.04,97.82
2025-10-04 19:34:26,28.09,50.86,101.04,97.82
2025-10-04 19:34:27,28.09,50.82,101.04,97.76
2025-10-04 19:34:28,28.09,50.78,101.04,98.22
2025-10-04 19:34:29,28.09,50.74,101.04,97.87
2025-10-04 19:34:30,28.09,50.71,101.04,98.28
2025-10-04 19:34:31,28.09,50.68,101.04,97.08
2025-10-04 19:34:32,28.09,50.64,101.04,97.64
2025-10-04 19:34:33,28.09,50.6,101.04,98.45
2025-10-04 19:34:34,28.09,50.6,101.04,97.76
2025-10-04 19:34:35,28.09,50.57,101.04,98.57
2025-10-04 19:34:36,28.1,50.55,101.04,98.57
2025-10-04 19:34:37,28.1,50.53,101.04,98.22
2025-10-04 19:34:38,28.1,50.52,101.04,98.28
2025-10-04 19:34:40,28.1,50.51,101.04,97.99
2025-10-04 19:34:41,28.09,50.5,101.04,98.33
2025-10-04 19:34:42,28.1,50.5,101.04,97.7
2025-10-04 19:34:43,28.09,50.49,101.04,98.16
2025-10-04 19:34:44,28.1,50.46,101.04,98.22
2025-10-04 19:34:45,28.09,50.45,101.04,98.45
2025-10-04 19:34:46,28.09,50.42,101.04,98.22
2025-10-04 19:34:47,28.1,50.41,101.04,98.22
2025-10-04 19:34:48,28.1,50.39,101.04,97.99
2025-10-04 19:34:49,28.09,50.37,101.04,98.45
2025-10-04 19:34:50,28.09,50.37,101.04,97.87
2025-10-04 19:34:51,28.09,50.36,101.04,98.62
2025-10-04 19:34:52,28.09,50.35,101.04,98.16
2025-10-04 19:34:53,28.09,50.37,101.04,97.99
2025-10-04 19:34:54,28.09,50.37,101.04,98.05
2025-10-04 19:34:56,28.09,50.37,101.04,97.93
2025-10-04 19:34:57,28.09,50.37,101.04,98.57
2025-10-04 19:34:58,28.09,50.39,101.04,97.87
2025-10-04 19:34:59,28.09,50.39,101.04,98.45
2025-10-04 19:35:00,28.1,50.39,101.04,98.1
2025-10-04 19:35:01,28.1,50.4,101.04,98.16
2025-10-04 19:35:02,28.1,50.39,101.04,98.22
2025-10-04 19:35:03,28.1,50.39,101.04,98.68
2025-10-04 19:35:04,28.1,50.36,101.04,98.45
2025-10-04 19:35:05,28.1,50.37,101.04,98.86
2025-10-04 19:35:06,28.1,50.35,101.04,98.28
2025-10-04 19:35:07,28.1,50.35,101.04,98.62
2025-10-04 19:35:08,28.1,50.35,101.04,97.99
2025-10-04 19:35:09,28.1,50.33,101.04,98.45
2025-10-04 19:35:10,28.1,50.32,101.04,99.27
2025-10-04 19:35:11,28.11,50.33,101.04,98.39
2025-10-04 19:35:13,28.11,50.3,101.04,98.16
2025-10-04 19:35:14,28.11,50.3,101.04,98.1
2025-10-04 19:35:15,28.1,50.3,101.04,98.1
2025-10-04 19:35:16,28.1,50.3,101.04,97.76
2025-10-04 19:35:17,28.1,50.3,101.04,97.82
2025-10-04 19:35:18,28.1,50.28,101.04,98.45
2025-10-04 19:35:19,28.11,50.28,101.04,98.57
2025-10-04 19:35:20,28.11,50.25,101.04,97.59
2025-10-04 19:35:21,28.11,50.25,101.04,98.51
2025-10-04 19:35:22,28.11,50.24,101.04,99.21
2025-10-04 19:35:23,28.11,50.23,101.04,99.04
2025-10-04 19:35:24,28.11,50.22,101.04,99.04
2025-10-04 19:35:25,28.11,50.22,101.04,97.99
2025-10-04 19:35:26,28.11,50.24,101.04,98.68
2025-10-04 19:35:27,28.11,50.22,101.04,99.15
2025-10-04 19:35:28,28.1,50.22,101.04,98.62
2025-10-04 19:35:30,28.1,50.22,101.04,97.82
2025-10-04 19:35:31,28.1,50.22,101.04,98.92
2025-10-04 19:35:32,28.1,50.22,101.04,98.33
2025-10-04 19:35:33,28.1,50.23,101.04,97.99
2025-10-04 19:35:34,28.1,50.23,101.04,97.99
2025-10-04 19:35:35,28.1,50.22,101.04,98.33
2025-10-04 19:35:36,28.11,50.23,101.04,99.45
2025-10-04 19:35:37,28.11,50.22,101.04,99.04
2025-10-04 19:35:38,28.11,50.22,101.04,99.15
2025-10-04 19:35:39,28.11,50.21,101.04,98.8
2025-10-04 19:35:40,28.12,50.21,101.04,99.75
2025-10-04 19:35:41,28.12,50.2,101.04,99.27
2025-10-04 19:35:42,28.12,50.19,101.04,99.15
2025-10-04 19:35:43,28.12,50.21,101.04,97.99
2025-10-04 19:35:44,28.12,50.31,101.04,98.68
2025-10-04 19:35:45,28.11,50.36,101.04,98.57
2025-10-04 19:35:46,28.12,50.39,101.04,98.8
2025-10-04 19:35:47,28.12,50.38,101.04,98.8
2025-10-04 19:35:48,28.11,50.37,101.04,98.45
2025-10-04 19:35:49,28.11,50.35,101.04,98.51
2025-10-04 19:35:51,28.11,50.34,101.04,99.27
2025-10-04 19:35:52,28.11,50.31,101.04,99.04
2025-10-04 19:35:53,28.11,50.3,101.04,98.68
2025-10-04 19:35:54,28.1,50.29,101.04,98.22
2025-10-04 19:35:55,28.1,50.28,101.04,98.1
2025-10-04 19:35:56,28.1,50.28,101.04,98.74
2025-10-04 19:35:57,28.1,50.28,101.04,98.92
2025-10-04 19:35:58,28.1,50.27,101.04,98.16
2025-10-04 19:35:59,28.1,50.27,101.04,97.87
2025-10-04 19:36:00,28.11,50.27,101.04,98.45
2025-10-04 19:36:01,28.1,50.27,101.04,98.33
2025-10-04 19:36:02,28.1,50.25,101.04,97.93
2025-10-04 19:36:03,28.1,50.26,101.04,98.39
2025-10-04 19:36:04,28.1,50.23,101.04,98.68
2025-10-04 19:36:05,28.1,50.22,101.04,98.51
2025-10-04 19:36:07,28.1,50.22,101.04,98.92
2025-10-04 19:36:07,28.11,50.21,101.04,98.68
2025-10-04 19:36:09,28.11,50.2,101.04,98.68
2025-10-04 19:36:10,28.11,50.2,101.04,98.92
2025-10-04 19:36:11,28.11,50.19,101.04,98.92
2025-10-04 19:36:12,28.1,50.19,101.04,98.45
2025-10-04 19:36:13,28.1,50.18,101.04,98.8
2025-10-04 19:36:14,28.1,50.18,101.04,98.8
2025-10-04 19:36:15,28.1,50.17,101.04,98.28
2025-10-04 19:36:16,28.11,50.17,101.04,98.45
2025-10-04 19:36:17,28.11,50.18,101.04,99.27
2025-10-04 19:36:18,28.11,50.2,101.04,98.92
2025-10-04 19:36:19,28.11,50.2,101.04,98.45
2025-10-04 19:36:20,28.11,50.2,101.04,98.45
2025-10-04 19:36:21,28.11,50.2,101.04,98.86
2025-10-04 19:36:22,28.1,50.2,101.04,98.45
2025-10-04 19:36:23,28.1,50.2,101.04,98.8
2025-10-04 19:36:24,28.1,50.21,101.04,98.45
2025-10-04 19:36:26,28.1,50.23,101.04,98.1
2025-10-04 19:36:27,28.11,50.23,101.04,98.98
2025-10-04 19:36:28,28.11,50.22,101.04,98.68
2025-10-04 19:36:29,28.1,50.22,101.04,98.8
2025-10-04 19:36:30,28.1,50.22,101.04,97.59
2025-10-04 19:36:31,28.1,50.2,101.04,98.8
2025-10-04 19:36:32,28.11,50.2,101.04,98.51
2025-10-04 19:36:33,28.11,50.21,101.04,99.15
2025-10-04 19:36:34,28.11,50.2,101.04,98.92
2025-10-04 19:36:35,28.12,50.2,101.04,98.68
2025-10-04 19:36:36,28.12,50.22,101.04,98.8
2025-10-04 19:36:37,28.12,50.23,101.04,98.51
2025-10-04 19:36:38,28.12,50.22,101.04,98.45
2025-10-04 19:36:39,28.11,50.22,101.04,98.62
2025-10-04 19:36:40,28.11,50.22,101.04,98.68
2025-10-04 19:36:41,28.11,50.22,101.04,97.93
2025-10-04 19:36:42,28.12,50.19,101.04,98.62
2025-10-04 19:36:43,28.12,50.2,101.04,98.45
2025-10-04 19:36:45,28.12,50.2,101.04,99.04
2025-10-04 19:36:46,28.12,50.21,101.04,97.64
2025-10-04 19:36:47,28.12,50.19,101.04,98.68
2025-10-04 19:36:48,28.12,50.2,101.04,98.33
2025-10-04 19:36:49,28.12,50.19,101.04,98.92
2025-10-04 19:36:50,28.12,50.18,101.04,98.33
2025-10-04 19:36:51,28.12,50.18,101.04,98.33
2025-10-04 19:36:52,28.12,50.18,101.04,98.33
2025-10-04 19:36:53,28.11,50.17,101.04,98.57
2025-10-04 19:36:54,28.11,50.17,101.04,97.87
2025-10-04 19:36:55,28.11,50.17,101.04,98.1
2025-10-04 19:36:56,28.1,50.16,101.04,97.82
2025-10-04 19:36:57,28.11,50.17,101.04,98.98
2025-10-04 19:36:58,28.11,50.16,101.04,98.8
2025-10-04 19:36:59,28.11,50.17,101.04,98.22
2025-10-04 19:37:00,28.12,50.17,101.04,98.74
2025-10-04 19:37:02,28.11,50.16,101.04,98.45
2025-10-04 19:37:03,28.11,50.17,101.04,98.33
2025-10-04 19:37:04,28.11,50.18,101.04,98.62
2025-10-04 19:37:05,28.11,50.17,101.04,98.45
2025-10-04 19:37:06,28.11,50.17,101.04,98.62
2025-10-04 19:37:07,28.11,50.19,101.04,98.16
2025-10-04 19:37:08,28.12,50.21,101.04,98.33
2025-10-04 19:37:09,28.11,50.22,101.04,98.22
2025-10-04 19:37:10,28.12,50.22,101.04,98.62
2025-10-04 19:37:11,28.12,50.21,101.04,98.86
2025-10-04 19:37:12,28.12,50.22,101.04,98.45
2025-10-04 19:37:13,28.12,50.22,101.04,97.99
2025-10-04 19:37:14,28.12,50.21,101.04,98.45
2025-10-04 19:37:15,28.12,50.21,101.04,98.86
2025-10-04 19:37:16,28.12,50.21,101.04,98.51
